0,26,24,25,1,48,,,0,25,0,48,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,23,26,2,47,,,1,26,4,47,5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,22,27,3,46,,,2,27,3,46,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,21,28,4,45,,,3,28,2,45,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,20,29,5,44,,,4,48,1,44,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,31,19,30,6,43,,,5,29,5,43,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32,18,31,7,42,,,6,30,6,42,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,33,17,32,8,41,,,7,31,7,41,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,34,16,33,9,40,,,8,32,8,40,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,35,15,34,10,39,,,9,33,9,39,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,36,14,35,0,38,,,10,34,10,38,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,37,13,36,11,37,,,11,35,11,37,11,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,38,12,37,12,36,,,12,36,12,36,13,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,39,11,38,14,35,,,13,37,13,35,12,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,40,10,39,13,34,,,14,38,14,34,14,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,41,9,40,15,33,,,15,39,15,33,15,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,42,8,41,16,32,,,16,40,16,32,16,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,43,7,42,17,31,,,17,41,17,31,17,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,44,6,43,18,30,,,18,42,18,30,18,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,45,5,44,19,29,,,19,43,19,29,19,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,46,4,45,20,28,,,20,44,20,28,24,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,47,3,46,21,27,,,21,45,21,27,23,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,48,2,47,22,26,,,22,46,22,26,22,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,25,1,48,24,25,,,23,47,23,25,21,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,0,,23,,,,24,,24,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
